# time	signal	sigma
-3.999999886872274146e-06	2.828416660319527185e-05	1.806181497169534076e-03
-3.997999886928838009e-06	2.635617972256436205e-05	1.805761402187561595e-03
-3.995999886985401872e-06	2.686107822630017894e-05	1.806165621475203749e-03
-3.993999887041965735e-06	2.847780275620041281e-05	1.812047340855282157e-03
-3.991999887098529598e-06	2.793930192378926507e-05	1.813685819920333227e-03
-3.989999887155093461e-06	2.659444896905860953e-05	1.815759378846405541e-03
-3.987999887211657324e-06	2.537869506849760402e-05	1.817529065978255431e-03
-3.985999887268221187e-06	2.136246741108710598e-05	1.820601248535976121e-03
-3.983999887324785050e-06	2.128815233372465822e-05	1.830792348699839759e-03
-3.981999887381348913e-06	2.228641422195976160e-05	1.836218386672125880e-03
-3.979999887437912776e-06	2.375037468384569826e-05	1.839194962968442992e-03
-3.977999887494476638e-06	2.401261032984532444e-05	1.842235015163324165e-03
-3.975999887551040501e-06	2.464517782974409970e-05	1.842249872222625302e-03
-3.973999887607604364e-06	2.681421675102972678e-05	1.841462537045392622e-03
-3.971999887664168227e-06	3.020845654292371126e-05	1.839187913471578050e-03
-3.969999887720732090e-06	3.478222727244190756e-05	1.835506093014002520e-03
-3.967999887777295953e-06	4.016661564729815032e-05	1.831684906867765000e-03
-3.965999887833859816e-06	4.520601043935982633e-05	1.826718867893346995e-03
-3.963999887890423679e-06	4.993155965274043086e-05	1.823525262494621844e-03
-3.961999887946987542e-06	5.379828257340819680e-05	1.820804272843253068e-03
-3.959999888003551405e-06	6.242561018086228465e-05	1.821097782548202707e-03
-3.957999888060115268e-06	6.969923990324692416e-05	1.826662471477981603e-03
-3.955999888116679131e-06	7.286810440397100417e-05	1.829095114775800609e-03
-3.953999888173242994e-06	7.943377461469954210e-05	1.845575766934242148e-03
-3.951999888229806857e-06	8.282209023705353447e-05	1.849070939262953406e-03
-3.949999888286370719e-06	8.650685970143146453e-05	1.850839913613717838e-03
-3.947999888342934582e-06	8.972941580462129221e-05	1.859503643700188402e-03
-3.945999888399498445e-06	9.310889333682200071e-05	1.866179013232363701e-03
-3.943999888456062308e-06	9.169998504820076751e-05	1.869288905549040900e-03
-3.941999888512626171e-06	9.184798487491132408e-05	1.871012078606350184e-03
-3.939999888569190034e-06	9.247615388009687034e-05	1.870946023800554910e-03
-3.937999888625753897e-06	9.265023219169607536e-05	1.870553661856841528e-03
-3.935999888682317760e-06	9.388213152627654400e-05	1.868349822457332976e-03
-3.933999888738881623e-06	9.321504817209097147e-05	1.867037275762702814e-03
-3.931999888795445486e-06	9.369339489351957576e-05	1.864859807434513525e-03
-3.929999888852009349e-06	9.376310241848812249e-05	1.865418243851210255e-03
-3.927999888908573212e-06	9.470228073949995455e-05	1.864660841463837817e-03
-3.925999888965137075e-06	9.365246538015759145e-05	1.865779714742968722e-03
-3.923999889021700938e-06	9.179203870195057108e-05	1.866535222041065334e-03
-3.921999889078264800e-06	9.290946052202257613e-05	1.865645720969999824e-03
-3.919999889134828663e-06	9.149469297583750853e-05	1.862032359248214086e-03
-3.917999889191392526e-06	9.109305234093710286e-05	1.859421045049311711e-03
-3.915999889247956389e-06	9.155800428507288643e-05	1.855429352467405976e-03
-3.913999889304520252e-06	9.036666845577237843e-05	1.852980148935722861e-03
-3.911999889361084115e-06	9.064675416833964817e-05	1.850774839389578586e-03
-3.909999889417647978e-06	9.399005384342620437e-05	1.850965326131654006e-03
-3.907999889474211841e-06	9.575257667150463016e-05	1.849982741081586954e-03
-3.905999889530775704e-06	9.673373496405364381e-05	1.849739629404748356e-03
-3.903999889587339567e-06	9.755351515508528981e-05	1.849240652113448352e-03
-3.901999889643903430e-06	9.716024676789676410e-05	1.848160272365410774e-03
-3.899999889700467293e-06	9.583417297210597603e-05	1.848106742686548730e-03
-3.897999889757031156e-06	9.379068780484105792e-05	1.849655953110010366e-03
-3.895999889813595018e-06	9.487982158917971612e-05	1.848670391380459683e-03
-3.893999889870158881e-06	9.300213533782659991e-05	1.848562479923354087e-03
-3.891999889926722744e-06	8.848832890657513613e-05	1.848465395646825722e-03
-3.889999889983286607e-06	8.733111189361027074e-05	1.847332283821890827e-03
-3.887999890039850470e-06	8.696436149897995046e-05	1.847413517313629440e-03
-3.885999890096414333e-06	8.807423004448950419e-05	1.847934955964797635e-03
-3.883999890152978196e-06	9.010230816317764619e-05	1.847798557439844173e-03
-3.881999890209542059e-06	9.138710726889470574e-05	1.851397748868971460e-03
-3.879999890266105922e-06	9.278987306266076344e-05	1.852959121882485818e-03
-3.877999890322669785e-06	9.352473223744466350e-05	1.856536193131059316e-03
-3.875999890379233648e-06	9.506254226775666394e-05	1.856740535909296276e-03
-3.873999890435797511e-06	9.710456491903557939e-05	1.860188638306741046e-03
-3.871999890492361374e-06	9.894612084419917403e-05	1.860754772478743786e-03
-3.869999890548925237e-06	1.009253788894319006e-04	1.859436261245619006e-03
-3.867999890605489099e-06	1.045705274794821952e-04	1.863715628266231087e-03
-3.865999890662052962e-06	1.030965387988555922e-04	1.863408191442173303e-03
-3.863999890718616825e-06	1.010004484317286418e-04	1.860729571346111250e-03
-3.861999890775180688e-06	9.826896643915800512e-05	1.860197464293817651e-03
-3.859999890831744551e-06	9.804168349369950979e-05	1.859920527257591686e-03
-3.857999890888308414e-06	9.614572791473973703e-05	1.858682723948737502e-03
-3.855999890944872277e-06	9.461229062142207757e-05	1.857744503846917462e-03
-3.853999891001436140e-06	9.197656213262391162e-05	1.856101037497490981e-03
-3.851999891058000003e-06	9.127127858720555128e-05	1.855480609546802202e-03
-3.849999891114563866e-06	8.806038999171794971e-05	1.855970411028846131e-03
-3.847999891171127729e-06	8.312521156283552955e-05	1.854815053846979285e-03
-3.845999891227691592e-06	7.802880290521288877e-05	1.856525219935423751e-03
-3.843999891284255455e-06	7.450743068667186968e-05	1.855968717958746432e-03
-3.841999891340819318e-06	7.098833621661579233e-05	1.857310922358213065e-03
-3.839999891397383180e-06	6.882239256969142102e-05	1.858406993537781073e-03
-3.837999891453947043e-06	6.786489442353680745e-05	1.859848506643619736e-03
-3.835999891510510906e-06	6.897275425308906603e-05	1.861051298283115290e-03
-3.833999891567074769e-06	6.958388587052679718e-05	1.860103706656404503e-03
-3.831999891623638632e-06	7.094426429101006060e-05	1.858736794294818659e-03
-3.829999891680202495e-06	7.469442201848714574e-05	1.857032975250469137e-03
-3.827999891736766358e-06	7.542350341661882888e-05	1.854451214508648490e-03
